2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | FNLC: asof mismatch: FNLC has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | ERAS: asof mismatch: ERAS has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | STEK: asof mismatch: STEK has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | JUNS: asof mismatch: JUNS has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | KMI: asof mismatch: KMI has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | BSIN: asof mismatch: BSIN has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | ASPN: asof mismatch: ASPN has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SKYE: asof mismatch: SKYE has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | RGNT: asof mismatch: RGNT has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | GJT: asof mismatch: GJT has no bar on 2026-09-07
2026-09-14 20:28:37.308 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CNX: asof mismatch: CNX has no bar on 2026-09-07
2026-09-14 20:28:37.309 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | MLGO: asof mismatch: MLGO has no bar on 2026-09-07
2026-09-14 20:28:37.309 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | LUD: asof mismatch: LUD has no bar on 2026-09-07
2026-09-14 20:28:37.309 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | PYPL: asof mismatch: PYPL has no bar on 2026-09-07
2026-09-14 20:28:37.309 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | RRC: asof mismatch: RRC has no bar on 2026-09-07
2026-09-14 20:28:37.309 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | HESM: asof mismatch: HESM has no bar on 2026-09-07
2026-09-14 20:28:37.309 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | SNDX: asof mismatch: SNDX has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | MOV: asof mismatch: MOV has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | AVY: asof mismatch: AVY has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | HURN: asof mismatch: HURN has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | ITG: asof mismatch: ITG has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | AER: asof mismatch: AER has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | WAT: asof mismatch: WAT has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | CRVL: asof mismatch: CRVL has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | PGY: asof mismatch: PGY has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | OPTX: asof mismatch: OPTX has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | AUNA: asof mismatch: AUNA has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | RYDE: asof mismatch: RYDE has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | ASMB: asof mismatch: ASMB has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | LOPE: asof mismatch: LOPE has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | BUSE: asof mismatch: BUSE has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | LOCO: asof mismatch: LOCO has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | NCMI: asof mismatch: NCMI has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | EJH: asof mismatch: EJH has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | APAC: asof mismatch: APAC has no bar on 2026-09-07
2026-09-14 20:28:37.353 | DEBUG    | data.stream_client:_snapshot_from_reply:85 - StreamClient | EE: asof mismatch: EE has no bar on 2026-09-07
